2023-10-19 07:21:02.750 [445854]  * adding 11431740860075024028 (b1) to the ignore list
2023-10-19 07:21:02.750 [445854]  * adding 9856672330180433179 (d1) to the ignore list
2023-10-19 07:21:02.750 [445854]  * adding 1559888405659446537 (a2) to the ignore list
2023-10-19 07:21:02.750 [445854]  * adding 11779331670075147377 (b2) to the ignore list
2023-10-19 07:21:02.750 [445854]  * adding 16059461224782173690 (e2) to the ignore list
2023-10-19 07:21:02.750 [445854]  * adding 2628333774192468341 (a3) to the ignore list
2023-10-19 07:21:02.750 [445854]  * adding 15395040449761517385 (b3) to the ignore list
2023-10-19 07:21:02.750 [445854]  * adding 9744823920107574024 (c3) to the ignore list
2023-10-19 07:21:02.750 [445854]  * adding 9977069862500167203 (d3) to the ignore list
2023-10-19 07:21:02.750 [445854]  * adding 4472754129667259352 (e3) to the ignore list
2023-10-19 07:21:02.751 [445854] found 10, limit 10, a4
2023-10-19 07:21:02.752 [445854] found 10, limit 10, a4
2023-10-19 07:21:02.752 [445854] found 9, limit 10, e3
2023-10-19 07:21:02.753 [445854] found 9, limit 10, e3
2023-10-19 07:21:02.753 [445854] found 8, limit 10, d3
2023-10-19 07:21:02.754 [445854] found 8, limit 10, d3
2023-10-19 07:21:02.754 [445854] found 9, limit 10, e3
2023-10-19 07:21:02.755 [445854] found 16, limit 10, b5
2023-10-19 07:21:02.755 [445854] found 17, limit 10, c5
2023-10-19 07:21:02.756 [445854] found 6, limit 10, b3
2023-10-19 07:21:02.756 [445854] found 18, limit 10, d5
2023-10-19 07:21:02.757 [445854] found 10, limit 10, a4
2023-10-19 07:21:02.757 [445854] found 8, limit 10, d3
2023-10-19 07:21:02.758 [445854] found 2, limit 10, a2
2023-10-19 07:21:02.758 [445854] found 17, limit 10, c5
2023-10-19 07:21:02.759 [445854] found 3, limit 10, b2
2023-10-19 07:21:02.760 [445854] found 14, limit 10, e4
2023-10-19 07:21:02.760 [445854] found 16, limit 10, b5
2023-10-19 07:21:02.761 [445854] found 4, limit 10, e2
2023-10-19 07:21:02.762 [445854] found 10, limit 10, a4
